p,gamma,rate,tail_beta,tail_quantile_exponent
0.005,0.0454146923337941,1.4495505013006344e-16,,
0.005,0.16473785579206984,0.027764653772078922,,
0.005,0.28406101925034555,0.10081064834238998,,
0.005,0.40338418270862125,0.217391425155451,,
0.005,0.5227073461668971,0.3833394291441463,,
0.005,0.6420305096251728,0.6118875000301653,,
0.005,0.7613536730834485,0.9309035820053665,,
0.005,0.8806768365417242,1.4137113006111177,,
0.005,1.0,2.8255438795029,,
0.005,,,0.0,0.0454146923337941
0.005,,,0.01,0.11451919217520157
0.005,,,0.05,0.20918573205677793
0.005,,,0.1,0.2830337302733197
0.01,0.08079313589591118,3.844112198047838e-17,,
0.01,0.19569399390892228,0.01940980111912437,,
0.01,0.31059485192193337,0.07390906060774319,,
0.01,0.4254957099349445,0.16403813674937928,,
0.01,0.5403965679479555,0.2953116582513277,,
0.01,0.6552974259609667,0.4792326606665193,,
0.01,0.7701982839739778,0.7396471253641705,,
0.01,0.8850991419869889,1.139044190885534,,
0.01,1.0,2.3291778797349196,,
0.01,,,0.0,0.08079313589591118
0.01,,,0.01,0.16226206794708598
0.01,,,0.05,0.2685845553850552
0.01,,,0.1,0.34914721929838666
0.02,0.14144054254182067,8.969595114434904e-17,,
0.02,0.24876047472409307,0.01294107665175077,,
0.02,0.3560804069063655,0.05140143713161757,,
0.02,0.46340033908863787,0.11735049977595878,,
0.02,0.5707202712709103,0.2158406878324943,,
0.02,0.6780402034531827,0.3565370479887501,,
0.02,0.7853601356354551,0.5590759665336266,,
0.02,0.8926800678177276,0.8746294432271144,,
0.02,1.0,1.8365012677171204,,
0.02,,,0.0,0.14144054254182067
0.02,,,0.01,0.23565460827855958
0.02,,,0.05,0.35314645638181164
0.02,,,0.1,0.43938463731475674
0.03,0.1943918578315762,8.00857155294701e-18,,
0.03,0.2950928756026292,0.00993934091699724,,
0.03,0.39579389337368215,0.04030319826292669,,
0.03,0.4964949111447351,0.09342080708735047,,
0.03,0.5971959289157881,0.1739365401732044,,
0.03,0.6978969466868411,0.29035044429927126,,
0.03,0.798597964457894,0.45971729619524315,,
0.03,0.899298982228947,0.7263156541903099,,
0.03,1.0,1.5514185183205829,,
0.03,,,0.0,0.1943918578315762
0.03,,,0.01,0.2953989322152491
0.03,,,0.05,0.4181305590815786
0.03,,,0.1,0.5063628932708739
0.04,0.24229218908241482,1.0250964897450156e-16,,
0.04,0.33700566544711297,0.008114495200803803,,
0.04,0.43171914181181115,0.03331999290381149,,
0.04,0.5264326181765092,0.0779971094195206,,
0.04,0.6211460945412074,0.1464200915408636,,
0.04,0.7158595709059056,0.2462088688098807,,
0.04,0.8105730472706036,0.3925238257639421,,
0.04,0.9052865236353018,0.6246208322878308,,
0.04,1.0,1.3513749394141468,,
0.04,,,0.0,0.24229218908241482
0.04,,,0.01,0.3473194555363747
0.04,,,0.05,0.4725596265478782
0.04,,,0.1,0.5611296521454177
0.05,0.28639695711595625,1.6017132520105792e-16,,
0.05,0.37559733747646173,0.006854865337079394,,
0.05,0.4647977178369672,0.028388943688117035,,
0.05,0.5539980981974726,0.06692012580966342,,
0.05,0.6431984785579781,0.1263871195928138,,
0.05,0.7323988589184836,0.2136937977233277,,
0.05,0.821599239278989,0.3424942210225463,,
0.05,0.9107996196394945,0.5480753403218378,,
0.05,1.0,1.1979643381655696,,
0.05,,,0.0,0.28639695711595625
0.05,,,0.01,0.3938023101425957
0.05,,,0.05,0.5199461177710013
0.05,,,0.1,0.6078973184901074
0.075,0.38431154412649704,-5.605996253527073e-17,,
0.075,0.4612726011106849,0.004874870744891319,,
0.075,0.5382336580948728,0.020450576424944036,,
0.075,0.6151947150790606,0.048746423400014255,,
0.075,0.6921557720632485,0.09299058237740757,,
0.075,0.7691168290474364,0.15871397704577792,,
0.075,0.8460778860316243,0.25675883119505993,,
0.075,0.9230389430158121,0.4150632549024014,,
0.075,1.0,0.9247201617123093,,
0.075,,,0.0,0.38431154412649704
0.075,,,0.01,0.4935054838790581
0.075,,,0.05,0.617884365947047
0.075,,,0.1,0.7019397280782953
0.1,0.4689955935892812,1.6017132519074692e-17,,
0.1,0.5353711443906211,0.0036840999907959623,,
0.1,0.6017466951919609,0.015567266840549335,,
0.1,0.6681222459933007,0.03735261918653714,,
0.1,0.7344977967946407,0.07170100218304978,,
0.1,0.8008733475959804,0.12312468502590251,,
0.1,0.8672488983973203,0.20043049116026537,,
0.1,0.9336244491986602,0.32628062165914207,,
0.1,1.0,0.7369655941662061,,
0.1,,,0.0,0.4689955935892812
0.1,,,0.01,0.5765597546127543
0.1,,,0.05,0.6959074752820452
0.1,,,0.1,0.7742120050160715
