position,q_train,q_test,uniform
0,0.0,0.0,0.020833333333333332
1,0.014,0.013333333333333334,0.020833333333333332
2,0.019,0.013333333333333334,0.020833333333333332
3,0.019,0.016666666666666666,0.020833333333333332
4,0.023,0.016666666666666666,0.020833333333333332
5,0.02,0.023333333333333334,0.020833333333333332
6,0.014,0.03,0.020833333333333332
7,0.02,0.013333333333333334,0.020833333333333332
8,0.027,0.02,0.020833333333333332
9,0.02,0.03666666666666667,0.020833333333333332
10,0.025,0.01,0.020833333333333332
11,0.022,0.02,0.020833333333333332
12,0.023,0.02,0.020833333333333332
13,0.017,0.03333333333333333,0.020833333333333332
14,0.017,0.03,0.020833333333333332
15,0.019,0.02,0.020833333333333332
16,0.024,0.023333333333333334,0.020833333333333332
17,0.021,0.0033333333333333335,0.020833333333333332
18,0.025,0.03333333333333333,0.020833333333333332
19,0.017,0.01,0.020833333333333332
20,0.017,0.03333333333333333,0.020833333333333332
21,0.016,0.02,0.020833333333333332
22,0.03,0.023333333333333334,0.020833333333333332
23,0.022,0.023333333333333334,0.020833333333333332
24,0.018,0.02666666666666667,0.020833333333333332
25,0.019,0.03666666666666667,0.020833333333333332
26,0.018,0.03,0.020833333333333332
27,0.022,0.02666666666666667,0.020833333333333332
28,0.027,0.02666666666666667,0.020833333333333332
29,0.022,0.01,0.020833333333333332
30,0.019,0.006666666666666667,0.020833333333333332
31,0.024,0.01,0.020833333333333332
32,0.024,0.013333333333333334,0.020833333333333332
33,0.026,0.02,0.020833333333333332
34,0.019,0.023333333333333334,0.020833333333333332
35,0.026,0.023333333333333334,0.020833333333333332
36,0.02,0.016666666666666666,0.020833333333333332
37,0.029,0.023333333333333334,0.020833333333333332
38,0.018,0.023333333333333334,0.020833333333333332
39,0.022,0.03,0.020833333333333332
40,0.021,0.03,0.020833333333333332
41,0.021,0.016666666666666666,0.020833333333333332
42,0.024,0.023333333333333334,0.020833333333333332
43,0.03,0.013333333333333334,0.020833333333333332
44,0.018,0.02,0.020833333333333332
45,0.027,0.02,0.020833333333333332
46,0.023,0.006666666666666667,0.020833333333333332
47,0.012,0.03666666666666667,0.020833333333333332
