p,gamma,rate,tail_beta,tail_quantile_exponent
0.002,0.020814071335501033,9.514176724013845e-17,,
0.002,0.14321231241856341,0.04176805006482529,,
0.002,0.26561055350162577,0.14232871186041135,,
0.002,0.3880087945846882,0.2962663066918416,,
0.002,0.5104070356677505,0.5098408366196973,,
0.002,0.6328052767508129,0.7985184732938169,,
0.002,0.7552035178338753,1.195306892934521,,
0.002,0.8776017589169376,1.7873316085331814,,
0.002,1.0,3.484336281993457,,
0.002,,,0.0,0.020814071335501033
0.002,,,0.01,0.07573049811237306
0.002,,,0.05,0.15633849060733176
0.002,,,0.1,0.2214848234948965
0.005,0.0454146923337941,1.4495505013006344e-16,,
0.005,0.16473785579206984,0.027764653772078922,,
0.005,0.28406101925034555,0.10081064834238998,,
0.005,0.40338418270862125,0.217391425155451,,
0.005,0.5227073461668971,0.3833394291441463,,
0.005,0.6420305096251728,0.6118875000301653,,
0.005,0.7613536730834485,0.9309035820053665,,
0.005,0.8806768365417242,1.4137113006111177,,
0.005,1.0,2.8255438795029,,
0.005,,,0.0,0.0454146923337941
0.005,,,0.01,0.11451919217520157
0.005,,,0.05,0.20918573205677793
0.005,,,0.1,0.2830337302733197
0.01,0.08079313589591118,3.844112198047838e-17,,
0.01,0.19569399390892228,0.01940980111912437,,
0.01,0.31059485192193337,0.07390906060774319,,
0.01,0.4254957099349445,0.16403813674937928,,
0.01,0.5403965679479555,0.2953116582513277,,
0.01,0.6552974259609667,0.4792326606665193,,
0.01,0.7701982839739778,0.7396471253641705,,
0.01,0.8850991419869889,1.139044190885534,,
0.01,1.0,2.3291778797349196,,
0.01,,,0.0,0.08079313589591118
0.01,,,0.01,0.16226206794708598
0.01,,,0.05,0.2685845553850552
0.01,,,0.1,0.34914721929838666
0.02,0.14144054254182067,8.969595114434904e-17,,
0.02,0.24876047472409307,0.01294107665175077,,
0.02,0.3560804069063655,0.05140143713161757,,
0.02,0.46340033908863787,0.11735049977595878,,
0.02,0.5707202712709103,0.2158406878324943,,
0.02,0.6780402034531827,0.3565370479887501,,
0.02,0.7853601356354551,0.5590759665336266,,
0.02,0.8926800678177276,0.8746294432271144,,
0.02,1.0,1.8365012677171204,,
0.02,,,0.0,0.14144054254182067
0.02,,,0.01,0.23565460827855958
0.02,,,0.05,0.35314645638181164
0.02,,,0.1,0.43938463731475674
0.04,0.24229218908241482,1.0250964897450156e-16,,
0.04,0.33700566544711297,0.008114495200803803,,
0.04,0.43171914181181115,0.03331999290381149,,
0.04,0.5264326181765092,0.0779971094195206,,
0.04,0.6211460945412074,0.1464200915408636,,
0.04,0.7158595709059056,0.2462088688098807,,
0.04,0.8105730472706036,0.3925238257639421,,
0.04,0.9052865236353018,0.6246208322878308,,
0.04,1.0,1.3513749394141468,,
0.04,,,0.0,0.24229218908241482
0.04,,,0.01,0.3473194555363747
0.04,,,0.05,0.4725596265478782
0.04,,,0.1,0.5611296521454177
