p,rho,alpha,q_star,variational_value,renyi_target,absolute_error
0.002,0.5,0.6666666666666666,0.015646506677186506,0.03123911605840187,0.03123911605840209,2.185751579730777e-16
0.002,1.0,0.5,0.04284800783873228,0.12347183547640248,0.12347183547640277,2.914335439641036e-16
0.002,2.0,0.3333333333333333,0.11196063868680714,0.5110251340137091,0.5110251340137097,6.661338147750939e-16
0.005,0.5,0.6666666666666666,0.028501863400214322,0.055343730162462815,0.05534373016246284,2.7755575615628914e-17
0.005,1.0,0.5,0.06619563626093881,0.1903839597038699,0.19038395970386965,2.498001805406602e-16
0.005,2.0,0.3333333333333333,0.14623576432942595,0.6770395281008936,0.6770395281008936,0.0
0.01,0.5,0.6666666666666666,0.044641905574363046,0.08433017833000143,0.08433017833000128,1.5265566588595902e-16
0.01,1.0,0.5,0.09132524868434898,0.2618286354922585,0.2618286354922585,0.0
0.01,2.0,0.3333333333333333,0.1777441246000218,0.8325224794968475,0.8325224794968474,1.1102230246251565e-16
0.02,0.5,0.6666666666666666,0.06949020046283053,0.12671378080550103,0.1267137808055008,2.220446049250313e-16
0.02,1.0,0.5,0.125,0.3561438102252752,0.35614381022527525,5.551115123125783e-17
0.02,2.0,0.3333333333333333,0.21462425138767507,1.0164887885989229,1.0164887885989229,0.0
0.04,0.5,0.6666666666666666,0.1072922774394246,0.18671659378456412,0.18671659378456437,2.498001805406602e-16
0.04,1.0,0.5,0.16952084719853724,0.47707459427345805,0.47707459427345794,1.1102230246251565e-16
0.04,2.0,0.3333333333333333,0.257433446063712,1.2293295876426455,1.229329587642646,4.440892098500626e-16
