family,rate,n,p,trials,agreement_fraction,completion_fraction,median_fiber_over_best_wall,median_ratio_ci95_low,median_ratio_ci95_high,p90_fiber_over_best_wall,p95_fiber_over_best_wall,p99_fiber_over_best_wall,maximum_fiber_over_best_wall,median_fiber_wall,median_prefix_wall,median_best_baseline_wall,trellis_available_fraction,median_histories,p95_histories,p99_histories,median_membership_queries,median_prefix_nodes,typical_threshold_p,mean_threshold_p,predicted_typical_favorable,predicted_mean_favorable
named_crc_linear,0.75,32,0.002,24,1.0,1.0,0.11289745985817465,0.1108719521090496,0.1178331677654354,0.1304627361027537,1.4871605421963578,1.917207730933969,1.9741929879314168,3.93435e-05,0.0021658464999999,0.0003445545,1.0,63.0,1745.2999999999959,2046.62,32.0,120.5,0.041692690273826716,0.009031399264589636,True,True
named_crc_linear,0.75,48,0.002,16,1.0,1.0,0.0056405842890732,0.0042343991021225,0.013703766083307565,0.0269443685871146,0.03140943192715712,0.033891617160581186,0.0345121634689372,5.84885e-05,0.01181379149999995,0.01181379149999995,0.0,95.0,1223.75,3930.3499999999985,48.5,386.0,0.041692690273826716,0.009031399264589636,True,True
named_crc_linear,0.75,64,0.002,12,1.0,1.0,0.00699631040820035,0.00420727364757045,0.0093594290801753,0.00976772268035203,0.011085181539425702,0.012351882127477462,0.0126685572744904,7.61255e-05,0.0118831994999999,0.0118831994999999,0.0,126.0,128.0,128.0,64.0,292.5,0.041692690273826716,0.009031399264589636,True,True
named_crc_linear,0.75,32,0.005,24,1.0,1.0,0.11948893618319506,0.1163150746944318,0.1304004236206122,1.5018800415839693,1.6166997268103953,1.9158640059938683,1.9992036474995216,3.8817e-05,0.004905960500000001,0.00033878399999995,1.0,64.0,2047.0,2047.77,33.0,260.5,0.041692690273826716,0.009031399264589636,True,True
named_crc_linear,0.75,48,0.005,16,1.0,1.0,0.00730733644766845,0.0045592437801755,0.0128874162931705,0.02013232502967385,0.0246348061846346,0.033705153709271476,0.0359727405904307,6.1414e-05,0.013877759,0.013877759,0.0,95.5,4608.0,4608.0,49.0,431.5,0.041692690273826716,0.009031399264589636,True,True
named_crc_linear,0.75,64,0.005,12,1.0,1.0,0.00473192647279495,0.0021804298659213,0.00707932665998365,0.013452521648545292,0.015000959106190289,0.01593227536012966,0.0161651044236145,7.97165e-05,0.02082577999999995,0.02082577999999995,0.0,126.5,3756.7999999999943,7304.960000000005,64.5,480.0,0.041692690273826716,0.009031399264589636,True,True
named_crc_linear,0.75,32,0.01,24,1.0,1.0,0.11742576259444534,0.112964326270517,0.1285354331824834,1.2589000569942064,1.865401794043318,1.9021107767682712,1.906456607687798,3.89245e-05,0.0027150059999999,0.0003341775,1.0,63.0,2045.0,2046.54,33.0,150.0,0.041692690273826716,0.009031399264589636,True,False
named_crc_linear,0.75,48,0.01,16,1.0,1.0,0.011716392191829149,0.0050494244191094,0.0160513464315154,0.02367530412021375,0.0278275172870701,0.02794981946006842,0.027980395003318,0.000673142,0.03493745349999995,0.03493745349999995,0.0,2349.5,4606.5,4607.7,1118.5,1156.0,0.041692690273826716,0.009031399264589636,True,False
named_crc_linear,0.875,32,0.002,24,1.0,1.0,0.41011015254818417,0.3637772062030895,0.4325945707562793,0.4860761415912201,0.4948052943727186,0.5054544144841234,0.5085672186359808,5.17885e-05,0.0015643989999999499,0.00014201600000000002,1.0,61.5,64.0,64.0,32.0,92.5,0.017128655077170693,0.002052123629415368,True,True
named_crc_linear,0.875,48,0.002,16,1.0,1.0,0.0158088380248841,0.0056550606675437,0.02214188990551325,0.0300604445292981,0.0345267190266855,0.03840348330970734,0.0393726743804628,6.75865e-05,0.00704150749999995,0.00704150749999995,0.0,94.0,1222.0,3926.7999999999984,48.0,227.5,0.017128655077170693,0.002052123629415368,True,True
named_crc_linear,0.875,64,0.002,12,1.0,1.0,0.00992852761851985,0.0035055695570271,0.0163557409867701,0.029330707580071513,0.03075520929082476,0.030916518616673112,0.0309568459481352,8.8245e-05,0.01460705099999995,0.01460705099999995,0.0,125.5,3754.5499999999943,7300.510000000005,64.0,345.0,0.017128655077170693,0.002052123629415368,True,True
named_crc_linear,0.875,32,0.005,24,1.0,1.0,0.4237021665642905,0.40119462345222884,0.4525368453537737,0.5615752987643114,0.5968766393390457,0.6419897333321611,0.6540888888888888,5.922e-05,0.001295746,0.00013736299999995,1.0,61.5,64.0,64.0,32.0,74.5,0.017128655077170693,0.002052123629415368,True,False
named_crc_linear,0.875,48,0.005,16,1.0,1.0,0.00854711597873355,0.004207373714725,0.0173375658741948,0.021625981957372947,0.026068534437310623,0.033207034843054685,0.0349916599444907,7.3414e-05,0.00883017499999995,0.00883017499999995,0.0,95.0,96.0,96.0,48.0,269.5,0.017128655077170693,0.002052123629415368,True,False
named_crc_linear,0.875,64,0.005,12,1.0,1.0,0.0071519143007385,0.0018437188924612,0.0100127837458334,0.01125037016320111,0.014771981849514981,0.01808490478718452,0.0189131355216019,8.6478e-05,0.03141475149999995,0.03141475149999995,0.0,127.0,8188.45,8188.89,64.5,712.5,0.017128655077170693,0.002052123629415368,True,False
named_crc_linear,0.875,32,0.01,24,1.0,1.0,0.42211715278370016,0.3778778503730783,0.4850279144976482,0.5582473914945306,0.6637336581827856,0.7295327248946294,0.7440780004779226,5.55915e-05,0.0027455005000000003,0.0001332569999999,1.0,62.0,64.0,1587.059999999999,33.0,147.5,0.017128655077170693,0.002052123629415368,True,False
named_crc_linear,0.875,48,0.01,16,1.0,1.0,0.0187543268330869,0.0078569226701703,0.0260726124932512,0.030861411691075848,0.0365599911005288,0.04959390035000984,0.0528523776623801,7.12385e-05,0.00793527299999995,0.00793527299999995,0.0,95.0,4602.25,4602.85,48.5,267.0,0.017128655077170693,0.002052123629415368,True,False
named_crc_linear,0.875,64,0.01,12,1.0,1.0,0.0079466544083346,0.0023321363739675,0.01387622107245335,0.01552911765516729,0.01673403770523005,0.017881789532447612,0.018168727489252,8.64255e-05,0.04723486149999995,0.04723486149999995,0.0,127.5,8186.45,8186.89,65.0,1109.0,0.017128655077170693,0.002052123629415368,True,False
random_linear,0.75,32,0.002,24,1.0,1.0,0.1192482558709845,0.1086777511584202,0.1264077793526811,0.1451989086247532,0.15089538793786259,0.16839375589864208,0.1733908385355154,3.82815e-05,0.0022789059999999,0.000322134,1.0,63.0,64.0,64.0,32.0,132.0,0.041692690273826716,0.009031399264589636,True,True
random_linear,0.75,48,0.002,16,1.0,1.0,0.0075007976904779994,0.0057905083939965,0.0106999632573461,0.01348981523589715,0.0162920943822104,0.021515403002064556,0.0228212301570281,5.89875e-05,0.007808332499999951,0.007808332499999951,0.0,95.0,1223.5,3929.499999999998,48.5,273.5,0.041692690273826716,0.009031399264589636,True,True
random_linear,0.75,64,0.002,12,1.0,1.0,0.00314027178389,0.00220685518274475,0.0155443017653857,0.02009676056005407,0.021012804892055967,0.021740492657658875,0.0219224145990596,8.42285e-05,0.03460974149999995,0.03460974149999995,0.0,127.5,8188.8,8190.56,65.0,796.5,0.041692690273826716,0.009031399264589636,True,True
random_linear,0.75,32,0.005,24,1.0,1.0,0.12254997776633281,0.11752502261170569,0.13159579437010777,0.1993823197226651,1.2627155080431414,1.4525640144129908,1.454473641244321,3.9914500000000006e-05,0.001706003,0.00032747249999995,1.0,62.5,1750.3999999999958,2048.0,32.5,97.5,0.041692690273826716,0.009031399264589636,True,True
random_linear,0.75,48,0.005,16,1.0,1.0,0.009950856488560051,0.0061118892894593,0.021675743329101,0.02818320497447615,0.033386609286574324,0.04412351121253206,0.0468077366940215,5.7859e-05,0.0062332284999998995,0.0062332284999998995,0.0,94.0,4607.25,4607.85,48.0,210.5,0.041692690273826716,0.009031399264589636,True,True
random_linear,0.75,64,0.005,12,1.0,1.0,0.0058906742640957,0.00463442528615165,0.0102902424380802,0.016466368981901944,0.01761719752617391,0.018071465515318463,0.0181850325126046,7.987849999999999e-05,0.02321213849999995,0.02321213849999995,0.0,126.5,8190.0,8190.0,64.5,527.0,0.041692690273826716,0.009031399264589636,True,True
random_linear,0.75,32,0.01,24,1.0,1.0,0.12948724278146084,0.1058705366293609,0.16984152174632405,1.43900669828519,1.5008082658903639,1.5630932740915755,1.5799375668729387,4.39785e-05,0.004473775,0.00043379149999994997,1.0,63.5,2047.0,2047.77,33.0,222.5,0.041692690273826716,0.009031399264589636,True,False
random_linear,0.75,48,0.01,16,1.0,1.0,0.007793932506340901,0.0044274265759917004,0.0150948521960884,0.0286949235228364,0.0367477405799488,0.03794095627030672,0.0382392601928962,6.0996500000000005e-05,0.018496321500000003,0.018496321500000003,0.0,96.0,30550.5,92812.49999999997,49.0,601.0,0.041692690273826716,0.009031399264589636,True,False
random_linear,0.875,32,0.002,24,1.0,1.0,0.3540066841254805,0.3209616806543331,0.4114019225278385,0.49212521095433637,0.4962549156662043,0.5112525741303037,0.5156406510185721,6.12535e-05,0.00227812299999995,0.00018278450000000003,1.0,62.0,64.0,64.0,32.0,123.0,0.017128655077170693,0.002052123629415368,True,True
random_linear,0.875,48,0.002,16,1.0,1.0,0.00778394566166035,0.0041918218255462,0.0175521264086736,0.03528582359748085,0.04055001300086665,0.048434115787935,0.0504051414847021,7.4383e-05,0.01273058599999995,0.01273058599999995,0.0,95.0,1222.75,3926.9499999999985,49.0,393.5,0.017128655077170693,0.002052123629415368,True,True
