family,code_name,rate,n,k,p,trial,error_weight,deleted_position,agreement,fiber_certified,prefix_certified,trellis_available,trellis_certified,fiber_wall,prefix_wall,trellis_wall,best_baseline_wall,best_baseline_name,fiber_over_prefix_wall,fiber_over_best_wall,fiber_histories,fiber_candidates,fiber_duplicates,fiber_membership,fiber_exact_scores,fiber_peak_seen,fiber_peak_frontier,prefix_nodes,prefix_membership,prefix_exact_scores,prefix_peak_frontier,trellis_nodes,trellis_updates,trellis_terminals,trellis_exact_scores
random_linear,"RLC_n64_k48",0.75,64,48,0.002,0,0,12,1,1,1,0,0,0.00011115,0.0088649039999999998,0,0.0088649039999999998,PREFIX_ASTAR,0.012538206843525886,0.012538206843525886,125,62,63,62,1,62,64,220,1,1,189,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.002,1,0,0,1,1,1,0,0,8.0496999999999999e-05,0.033360580000000001,0,0.033360580000000001,PREFIX_ASTAR,0.0024129376647528309,0.0024129376647528309,127,65,62,65,1,65,64,751,1,1,677,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.002,2,0,48,1,1,1,0,0,7.2690999999999999e-05,0.0033158300000000001,0,0.0033158300000000001,PREFIX_ASTAR,0.021922414599059661,0.021922414599059661,121,59,62,59,1,59,64,94,1,1,76,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.002,3,1,23,1,1,1,0,0,0.0023755130000000001,0.93821023800000003,0,0.93821023800000003,PREFIX_ASTAR,0.0025319623510652845,0.0025319623510652845,8191,3961,4230,3961,1,3961,64,20559,1,1,17975,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.002,4,0,8,1,1,1,0,0,7.3109999999999996e-05,0.0036070609999999999,0,0.0036070609999999999,PREFIX_ASTAR,0.020268578768143926,0.020268578768143926,121,62,59,62,1,62,64,102,1,1,83,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.002,5,1,33,1,1,1,0,0,0.0024068990000000001,0.12974919300000001,0,0.12974919300000001,PREFIX_ASTAR,0.018550396687245677,0.018550396687245677,8187,3951,4236,3951,2,3951,64,3140,1,1,2855,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.002,6,0,53,1,1,1,0,0,0.00011712700000000001,0.035858902999999998,0,0.035858902999999998,PREFIX_ASTAR,0.003266329703393325,0.003266329703393325,128,65,63,65,1,65,64,842,1,1,762,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.002,7,0,27,1,1,1,0,0,7.8603999999999995e-05,0.026077777999999999,0,0.026077777999999999,PREFIX_ASTAR,0.0030142138643867587,0.0030142138643867587,127,64,63,64,1,64,64,605,1,1,551,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.002,8,0,52,1,1,1,0,0,8.4591000000000004e-05,0.046449969000000001,0,0.046449969000000001,PREFIX_ASTAR,0.0018211206987027268,0.0018211206987027268,128,65,63,65,1,65,64,1034,1,1,948,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.002,9,0,48,1,1,1,0,0,8.7529999999999997e-05,0.044843036000000003,0,0.044843036000000003,PREFIX_ASTAR,0.001951919580110499,0.001951919580110499,128,65,63,65,1,65,64,1032,1,1,938,0,0,0,0
