n,trial,agreement,fiber_wall,vt_wall,fiber_over_vt_wall,fiber_histories,fiber_membership_queries,vt_candidate_checks
15,0,True,0.0004208420868963003,0.00017774500884115696,2.367673160782752,26,14,30
15,1,True,0.0003472360549494624,0.00016457203309983015,2.109933555592811,28,15,30
15,2,True,0.0003054600674659014,0.00014821800868958235,2.0608836278838156,28,15,30
15,3,True,0.00027653295546770096,0.00014493404887616634,1.9079916528377299,30,16,30
15,4,True,0.00024339300580322742,0.0001760469749569893,1.3825457998508166,28,15,30
15,5,True,0.00027624203357845545,0.00013494095765054226,2.047132600717432,26,14,30
15,6,True,0.00024086108896881342,0.0001346399076282978,1.7889279130654328,28,15,30
15,7,True,0.0002747779944911599,0.00013260298874229193,2.072185529884088,30,16,30
15,8,True,0.00029272399842739105,0.0001343770418316126,2.178378050576545,30,16,30
15,9,True,0.00024905591271817684,0.00013066502287983894,1.9060641266424567,30,16,30
15,10,True,0.0002506040036678314,0.00013079808559268713,1.9159607920273918,30,16,30
15,11,True,0.0002787300618365407,0.00013468100223690271,2.069557377856878,30,16,30
15,12,True,0.00017650390509516,0.00013285491149872541,1.32854633000793,16,9,30
15,13,True,0.0002657650038599968,0.00013200996909290552,2.0132191961423582,30,16,30
15,14,True,0.00024676998145878315,0.00016344001051038504,1.5098504992026007,26,14,30
15,15,True,0.00025220797397196293,0.0001318049617111683,1.9134937766959077,30,16,30
15,16,True,0.00019558495841920376,0.0001607449958100915,1.2167405736864938,20,11,30
15,17,True,0.0002055260119959712,0.0001325008925050497,1.5511292649454302,22,12,30
15,18,True,0.00027429196052253246,0.00012956000864505768,2.1171035984875712,30,16,30
15,19,True,0.00023663800675421953,0.0001266469480469823,1.8684856635189804,28,15,30
31,0,True,0.0007737659616395831,0.0005001779645681381,1.5469813075585315,60,31,62
31,1,True,0.000643721898086369,0.00048583303578197956,1.3249858504378098,52,27,62
31,2,True,0.0007542399689555168,0.00048362999223172665,1.5595392781060815,62,32,62
31,3,True,0.001197965000756085,0.0006041399901732802,1.9829261764520554,60,31,62
31,4,True,0.0010586559073999524,0.0006815250962972641,1.5533630575772566,60,31,62
31,5,True,0.0009180000051856041,0.0005816150223836303,1.5783636423683982,62,32,62
31,6,True,0.0007853510323911905,0.0006208519916981459,1.264956934813254,60,31,62
31,7,True,0.0008135359967127442,0.0005023879930377007,1.6193380574119218,56,29,62
31,8,True,0.0011030749883502722,0.0005328370025381446,2.0701921658890527,54,28,62
31,9,True,0.0006969320820644498,0.00044964300468564034,1.5499675849548622,52,27,62
31,10,True,0.000734277069568634,0.00045439403038471937,1.615947878863962,60,31,62
31,11,True,0.0008798390626907349,0.0006650369614362717,1.3229927262848036,60,31,62
31,12,True,0.0008963670115917921,0.0004868899704888463,1.8410052905625134,60,31,62
31,13,True,0.0007260440615937114,0.0005393289029598236,1.3461990588844759,62,32,62
31,14,True,0.0006979689933359623,0.0004870819393545389,1.4329601180878977,56,29,62
31,15,True,0.0007038259645923972,0.0004683190491050482,1.5028770790712012,62,32,62
31,16,True,0.0008220020681619644,0.0004872209392488003,1.6871238527419026,60,31,62
31,17,True,0.0008526489837095141,0.0004866051021963358,1.7522401221462875,60,31,62
31,18,True,0.000782356015406549,0.0004780309973284602,1.6366219340981016,62,32,62
31,19,True,0.0007682789582759142,0.0005126920295879245,1.4985194111432107,50,26,62
63,0,True,0.0028597459895536304,0.0021208309335634112,1.3484082791779621,122,62,126
63,1,True,0.0031045200303196907,0.0030864389846101403,1.005858222307231,124,63,126
63,2,True,0.003175924066454172,0.0021584229543805122,1.4714095122129074,122,62,126
63,3,True,0.003864679951220751,0.002859664964489639,1.3514450116398429,126,64,126
63,4,True,0.0031732149654999375,0.002191037987358868,1.4482701732273524,126,64,126
63,5,True,0.002764031058177352,0.0022049149265512824,1.2535771901642416,122,62,126
63,6,True,0.0028013630071654916,0.0021270749857649207,1.317002468607419,124,63,126
63,7,True,0.0026506619760766625,0.0021333800395950675,1.2424705991810907,120,61,126
63,8,True,0.002699896926060319,0.002028555958531797,1.330945254285426,124,63,126
63,9,True,0.0028069838881492615,0.002120785997249186,1.3235582900821319,124,63,126
63,10,True,0.003354236949235201,0.002158369985409081,1.55406022688898,124,63,126
63,11,True,0.0027675789315253496,0.0021878230618312955,1.264992119247877,120,61,126
63,12,True,0.002950766938738525,0.003022902994416654,0.9761368274763148,124,63,126
63,13,True,0.0038918190402910113,0.0024430659832432866,1.5930061107577766,124,63,126
63,14,True,0.002842015936039388,0.0022655000211670995,1.2544762345997638,124,63,126
63,15,True,0.0028751359786838293,0.0021391650661826134,1.3440458729136653,124,63,126
63,16,True,0.002705689985305071,0.002089358982630074,1.2949856907304471,120,61,126
63,17,True,0.0027316160267218947,0.0021057259291410446,1.2972324597988683,122,62,126
63,18,True,0.00273271300829947,0.0021154199494048953,1.2918063900589716,122,62,126
63,19,True,0.0027189160464331508,0.0021623159991577268,1.2574092073000582,120,61,126
