metric,n,corpus_size,evaluated_pair_count,max_upper_subadditivity_defect,max_inverse_u_defect,max_inverse_v_defect,max_positive_defect,max_positive_defect_per_symbol,proposal_original_delta_max,proposal_delta_per_symbol
LZ78_FIXED_BLOCK,32,26,756,-27.0,-27.0,-27.0,0.0,0.0,63.0,1.96875
CTW_D1,32,26,756,3.641042061890623,1.3028513968162994,1.3028513968162994,3.641042061890623,0.11378256443408197,34.82266222658852,1.0882081945808912
CTW_D2,32,26,756,9.93372145277922,3.068954022968885,3.068954022968885,9.93372145277922,0.31042879539935064,34.77285802392391,1.0866518132476222
LZ78_FIXED_BLOCK,64,28,864,-43.0,-51.0,-51.0,0.0,0.0,123.0,1.921875
CTW_D1,64,28,864,11.758324193822844,1.781852384295739,1.781852384295739,11.758324193822844,0.18372381552848194,67.85596087824536,1.0602493887225837
CTW_D2,64,28,864,32.22944409011707,2.704475010942325,2.704475010942325,32.22944409011707,0.5035850639080792,66.7685089687659,1.0432579526369672
LZ78_FIXED_BLOCK,128,27,809,-72.0,-74.0,-74.0,0.0,0.0,225.0,1.7578125
CTW_D1,128,27,809,26.505165681032082,4.036781013769257,4.036781013769257,26.505165681032082,0.20707160688306314,132.01377092542947,1.0313575853549177
CTW_D2,128,27,809,16.990745682547274,4.566610871859666,4.566610871859666,16.990745682547274,0.13274020064490058,131.84961623760248,1.0300751268562693
LZ78_FIXED_BLOCK,256,28,864,-97.0,-130.0,-130.0,0.0,0.0,409.0,1.59765625
LZ78_FIXED_BLOCK,512,29,921,-132.0,-193.0,-193.0,0.0,0.0,782.0,1.52734375
LZ78_FIXED_BLOCK,1024,28,864,-161.0,-297.0,-297.0,0.0,0.0,1475.0,1.4404296875
