code_label,metric,n,k,rate,minimum_hamming_distance,hamming_unique_radius,minimum_raw_description_length_nonzero,minimum_rank_description_bits_nonzero,minimum_rank_description_fraction_of_redundancy,replicate
RANDOM_BASELINE,LZ78_FIXED_BLOCK,12,6,0.5,2,0,23.0,10.727920454563199,1.7879867424271998,0
RANDOM_BASELINE,CTW_D2,12,6,0.5,2,0,8.791232199228224,5.087462841250339,0.8479104735417232,0
LZ_SELECTED,LZ78_FIXED_BLOCK,12,6,0.5,2,0,23.0,10.727920454563199,1.7879867424271998,0
LZ_SELECTED,CTW_D2,12,6,0.5,2,0,8.791232199228224,5.087462841250339,0.8479104735417232,0
RANDOM_BASELINE,LZ78_FIXED_BLOCK,12,6,0.5,3,1,18.0,6.584962500721156,1.0974937501201927,1
RANDOM_BASELINE,CTW_D2,12,6,0.5,3,1,10.34201172372206,6.807354922057604,1.1345591536762674,1
LZ_SELECTED,LZ78_FIXED_BLOCK,12,6,0.5,1,0,23.0,10.727920454563199,1.7879867424271998,1
LZ_SELECTED,CTW_D2,12,6,0.5,1,0,7.619640403340488,4.247927513443585,0.7079879189072642,1
RANDOM_BASELINE,LZ78_FIXED_BLOCK,12,6,0.5,3,1,18.0,6.584962500721156,1.0974937501201927,2
RANDOM_BASELINE,CTW_D2,12,6,0.5,3,1,9.922683554118972,6.247927513443585,1.0413212522405975,2
LZ_SELECTED,LZ78_FIXED_BLOCK,12,6,0.5,2,0,23.0,10.727920454563199,1.7879867424271998,2
LZ_SELECTED,CTW_D2,12,6,0.5,2,0,10.325752550265797,6.584962500721156,1.0974937501201927,2
RANDOM_BASELINE,LZ78_FIXED_BLOCK,12,9,0.75,1,0,18.0,6.584962500721156,2.1949875002403854,0
RANDOM_BASELINE,CTW_D2,12,9,0.75,1,0,7.619640403340488,4.247927513443585,1.4159758378145284,0
LZ_SELECTED,LZ78_FIXED_BLOCK,12,9,0.75,1,0,18.0,6.584962500721156,2.1949875002403854,0
LZ_SELECTED,CTW_D2,12,9,0.75,1,0,7.619640403340488,4.247927513443585,1.4159758378145284,0
RANDOM_BASELINE,LZ78_FIXED_BLOCK,12,9,0.75,1,0,18.0,6.584962500721156,2.1949875002403854,1
RANDOM_BASELINE,CTW_D2,12,9,0.75,1,0,5.666451526918201,1.584962500721156,0.5283208335737187,1
LZ_SELECTED,LZ78_FIXED_BLOCK,12,9,0.75,1,0,18.0,6.584962500721156,2.1949875002403854,1
LZ_SELECTED,CTW_D2,12,9,0.75,1,0,5.666451526918201,1.584962500721156,0.5283208335737187,1
RANDOM_BASELINE,LZ78_FIXED_BLOCK,12,9,0.75,1,0,18.0,6.584962500721156,2.1949875002403854,2
RANDOM_BASELINE,CTW_D2,12,9,0.75,1,0,5.666451526918201,1.584962500721156,0.5283208335737187,2
LZ_SELECTED,LZ78_FIXED_BLOCK,12,9,0.75,1,0,18.0,6.584962500721156,2.1949875002403854,2
LZ_SELECTED,CTW_D2,12,9,0.75,1,0,5.666451526918201,1.584962500721156,0.5283208335737187,2
RANDOM_BASELINE,LZ78_FIXED_BLOCK,16,8,0.5,4,1,23.0,8.906890595608518,1.1133613244510647,0
RANDOM_BASELINE,CTW_D2,16,8,0.5,4,1,11.292965317989283,6.78135971352466,0.8476699641905825,0
LZ_SELECTED,LZ78_FIXED_BLOCK,16,8,0.5,3,1,28.0,13.409390936137703,1.6761738670172128,0
LZ_SELECTED,CTW_D2,16,8,0.5,3,1,13.087081434151704,8.957102041562287,1.1196377551952859,0
RANDOM_BASELINE,LZ78_FIXED_BLOCK,16,8,0.5,3,1,23.0,8.906890595608518,1.1133613244510647,1
RANDOM_BASELINE,CTW_D2,16,8,0.5,3,1,8.4322261951089,5.20945336562895,0.6511816707036188,1
LZ_SELECTED,LZ78_FIXED_BLOCK,16,8,0.5,3,1,23.0,8.906890595608518,1.1133613244510647,1
LZ_SELECTED,CTW_D2,16,8,0.5,3,1,8.4322261951089,5.20945336562895,0.6511816707036188,1
RANDOM_BASELINE,LZ78_FIXED_BLOCK,16,8,0.5,3,1,23.0,8.906890595608518,1.1133613244510647,2
RANDOM_BASELINE,CTW_D2,16,8,0.5,3,1,13.833302401504028,10.07815080773465,1.2597688509668312,2
LZ_SELECTED,LZ78_FIXED_BLOCK,16,8,0.5,3,1,23.0,8.906890595608518,1.1133613244510647,2
LZ_SELECTED,CTW_D2,16,8,0.5,3,1,13.833302401504028,10.07815080773465,1.2597688509668312,2
RANDOM_BASELINE,LZ78_FIXED_BLOCK,16,12,0.75,2,0,23.0,8.906890595608518,2.2267226489021295,0
RANDOM_BASELINE,CTW_D2,16,12,0.75,2,0,8.432226195108898,5.20945336562895,1.3023633414072375,0
LZ_SELECTED,LZ78_FIXED_BLOCK,16,12,0.75,2,0,23.0,8.906890595608518,2.2267226489021295,0
LZ_SELECTED,CTW_D2,16,12,0.75,2,0,8.432226195108898,5.20945336562895,1.3023633414072375,0
RANDOM_BASELINE,LZ78_FIXED_BLOCK,16,12,0.75,2,0,23.0,8.906890595608518,2.2267226489021295,1
RANDOM_BASELINE,CTW_D2,16,12,0.75,2,0,8.432226195108898,5.20945336562895,1.3023633414072375,1
LZ_SELECTED,LZ78_FIXED_BLOCK,16,12,0.75,2,0,23.0,8.906890595608518,2.2267226489021295,1
LZ_SELECTED,CTW_D2,16,12,0.75,2,0,8.432226195108898,5.20945336562895,1.3023633414072375,1
RANDOM_BASELINE,LZ78_FIXED_BLOCK,16,12,0.75,1,0,23.0,8.906890595608518,2.2267226489021295,2
RANDOM_BASELINE,CTW_D2,16,12,0.75,1,0,8.276087774106465,4.584962500721156,1.146240625180289,2
LZ_SELECTED,LZ78_FIXED_BLOCK,16,12,0.75,1,0,23.0,8.906890595608518,2.2267226489021295,2
LZ_SELECTED,CTW_D2,16,12,0.75,1,0,8.276087774106465,4.584962500721156,1.146240625180289,2
