n,k,rate,replicate,candidate_pool,baseline_lz_rank_distance,best_lz_rank_distance,selection_gain_bits
12,6,0.5,0,8,10.727920454563199,10.727920454563199,0.0
12,6,0.5,1,8,6.584962500721156,10.727920454563199,4.142957953842043
12,6,0.5,2,8,6.584962500721156,10.727920454563199,4.142957953842043
12,9,0.75,0,8,6.584962500721156,6.584962500721156,0.0
12,9,0.75,1,8,6.584962500721156,6.584962500721156,0.0
12,9,0.75,2,8,6.584962500721156,6.584962500721156,0.0
16,8,0.5,0,8,8.906890595608518,13.409390936137703,4.502500340529185
16,8,0.5,1,8,8.906890595608518,8.906890595608518,0.0
16,8,0.5,2,8,8.906890595608518,8.906890595608518,0.0
16,12,0.75,0,8,8.906890595608518,8.906890595608518,0.0
16,12,0.75,1,8,8.906890595608518,8.906890595608518,0.0
16,12,0.75,2,8,8.906890595608518,8.906890595608518,0.0
